QID,name_x,Unnamed: 2,best_match,name
Q1414111,Wynn Macau,,Wynn Macau,
Q1433279,Huhtamaki,,Huhtamäki,
Q56247007,Indoritel Makmur Internasional,,Wilmar International,
Q16920636,United Bank,,United Arab Bank,
Q11463459,Koito Manufacturing,,Koito Manufacturing,
Q211237,Computacenter,,Computacenter,
Q30286728,Apellis Pharmaceuticals (United States),,Apellis Pharmaceuticals,
Q5520412,Gamuda Berhad,,Gamuda Berhad,
Q118132159,Hisense Visual Technology,,Hisense Visual Technology,
Q16980281,Haemonetics,,Haemonetics,
Q1203426,Samsonite,,Masonite,
Q43386,Perlis Plantations Bhd,,Power Integrations,
Q19647854,Concentrix,,Concentrix,
Q1345059,Remy Cointreau,,Rémy Cointreau,
Q8060442,Yuhan,,Yuhan,
Q276345,Millicom,,Millicom,
Q28170073,Gujarat Fluorochemicals Limited,,Gujarat Fluorochemicals,
Q12201570,Saudi Industrial Investment Group,,Saudi Industrial Investment Group,
Q33129672,Grand Canyon Education,,Grand Canyon Education,
Q11201250,GMO Payment Gateway,,GMO Payment Gateway,
Q7810035,Fortis Healthcare,,Fortis Healthcare,
Q1549511,Ormat Technologies Inc,,Ormat Technologies,
Q106457791,AutoStore,,Autohome,
Q7299366,Rayonier,,Rayonier,
Q512753,Finning,,Finning,
Q37614,Jollibee,,Jollibee,
Q21021580,Sopra Steria,,Sopra Steria Group,
Q694257,Vienna Insurance Group,,Vienna Insurance Group,
Q3562323,Jumbo,,Rumo,
Q3278352,Mainfreight,,Mainfreight,
Q11188787,ABC-Mart,,ABC-Mart,
Q7009312,New Jersey Resources,,New Jersey Resources,
Q22032296,Golub Capital,,Golub Capital,
Q106253755,"First Financial Bankshares, Inc.",,First Financial Bankshares,
Q4724337,Algonquin Power,,Algonquin Power & Utilities,
Q4206859,Hong Leong Group,,Hang Lung Group,
Q106239511,New Fortress Energy,,New Fortress Energy,
Q96375437,Contura Energy,,Coterra Energy,
Q185125,Hamamatsu,,Hamamatsu,
Q861042,Western Union,,Western Union,
Q705337,Krones,,Krones,
Q17183462,"Glacier Bancorp, Inc",,Glacier Bancorp,
Q702895,InnoLux Corporation,,Fox Corporation,
Q20486915,H.B. Fuller,,H.B. Fuller,
Q3140604,ITV plc,,ITV plc,
Q7040930,Nissan Chemical,,Nissan Chemical,
Q787714,PGE Polska Grupa Energetyczna,,,
Q4650685,ACI Worldwide,,ACI Worldwide,
Q106314555,Technip Energies,,Technip Energies,
Q7496874,Shimizu Corporation,,Shimizu Corporation,
Q597258,Bucher Industries,,Bucher Industries,
Q4674469,Acom,,Acom,
Q1491819,Galenica,,Galenica,
Q1341588,EnerSys,,EnerSys,
Q7834757,Cleanaway Waste Management Limited,,Cleanaway Waste Management,
Q1341590,Enerplus,,Enerplus,
Q4727688,Alkermes,,Alkermes,
Q371901,Royal Unibrew,,Royal Unibrew,
Q6708384,Lynas,,Lynas,
Q5642504,Halk Bankas?,,Halkbank,
Q2990064,Q2990064,,,
Q1013412,China Shipping Container Lines,,China Southern Airlines,
Q3370152,"Patterson-UTI Energy, Inc",,Patterson-UTI Energy,
Q3804082,Italgas,,Italgas,
