id,contour,is_actual,name,notes,interest_object_type_id,registration_date,update_date,creator,last_updater,markers,image_name,redmine_issue_ids,secret_level_id,start_date,end_date,avatar_document_uuid,status
9117392,ОК,True,Сенегал,,1367,1701354784,1723226698,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
893049,ОК,True,Италия,,1367,1694069988,1723469212,8899da5a-c619-4896-ba26-3eb87c3b7625,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
204412,ОК,True,Египет,,1367,1680459392,1723471160,b7de0a71-b4e8-46b2-b294-6c1ddf6a9d82,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
5020866,ОК,True,Гвинея-Бисау,,1367,1700211631,1723165757,777150f7-84cb-4d14-a9af-ebdbfe5157b7,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
440890,ОК,True,Аргентина,,1367,1689604162,1723250026,0db8e6a8-fe86-41cb-a1aa-cc6a70470e79,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': '30ed/aca4/AR - Argentina.png'}",[],1,,,30edaca4-a9b4-4cef-81d7-7ef5238c8b9e,approved
236020,ОК,True,Бразилия,,1367,1688969423,1723467686,973c68fe-3ab8-4b08-ba78-5d96c30443bf,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
6869723,ОК,True,Бахрейн,,1367,1700751523,1723469943,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],"{'bucketName': 'documents', 'objectName': '3ca2/1b4b/BH - Bahrain.png'}",[],1,,,3ca21b4b-18aa-488a-bae9-06c8a226334c,approved
226372,ОК,True,French Polynesia,,1367,1684738674,1722578377,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226048,ОК,True,Армения,,1367,1684738191,1723468829,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
338634,ОК,True,Вьетнам,,1367,1689337255,1723325254,973c68fe-3ab8-4b08-ba78-5d96c30443bf,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
5073065,ОК,True,Сан-Томе и Принсипи,,1367,1700236372,1723060142,600b2696-0958-4862-9f83-3b4520130680,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
174521,ОК,True,Республика Молдова,,1367,1674836298,1723470100,c6bc5dff-5220-48fa-8071-259e0d49472e,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,"{'date': {'day': 27, 'year': 1991, 'month': 8}}",,,approved
226366,ОК,True,French Guiana,,1367,1684738668,1718533901,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
226918,ОК,True,Saint Vincent and the Grenadines,,1367,1684739413,1722768328,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,13bb0f44-20d8-4323-bae6-19e03f0c5ba4,[],,[],1,,,,approved
