name,location,coordinates
юридический факультет СПбГУ,"Saint Petersburg, Russia",59°56′03″ с. ш. 30°15′44″ в. д.
Пенсильванский университет,"Philadelphia, Pennsylvania, United States39°57′N 75°11′W﻿ / ﻿39.95°N 75.19°W﻿ / 39.95; -75.19",39°57′13″ с. ш. 75°11′34″ з. д.
исторический факультет Гданьского университета,,
Цюрихский университет,"Цюрих, Швейцария",47°22′29″ с. ш. 8°32′54″ в. д.
Итонский колледж,"Итон (Беркшир),  Великобритания",51°29′30″ с. ш. 0°36′31″ з. д.
Гарвардская школа права,"Cambridge, Massachusetts, United States",42°22′41″ с. ш. 71°07′07″ з. д.
Университет Пантеон-Ассас,Париж,48°50′49″ с. ш. 2°20′41″ в. д.
Токийский университет,"Бункё, Токио, Япония",35°42′48″ с. ш. 139°45′44″ в. д.
Токийский университет,"Бункё, Токио, Япония",35°42′48″ с. ш. 139°45′44″ в. д.
Университет Хосэй,"Tokyo, Japan",35°41′44″ с. ш. 139°44′29″ в. д.
Военная академия Агульяс-Неграс,"Resende, Rio de Janeiro, Brazil",22°26′40″ ю. ш. 44°27′39″ з. д.
Атеней Люксембурга,,
Университет Ренн II Верхней Бретани,Ренн,48°07′14″ с. ш. 1°42′13″ з. д.
Национальная школа администрации,,
Вюрцбургский университет,"Вюрцбург, Бавария, Германия",49°47′17″ с. ш. 9°56′07″ в. д.
Киргизский государственный технический университет имени И. Раззакова,,
Монгольский государственный университет,"Улан-Батор, Монголия",47°55′22″ с. ш. 106°55′09″ в. д.
Лондонская школа экономики и политических наук,Лондон,51°30′50″ с. ш. 0°07′00″ з. д.
Мадридский политехнический университет,Madrid,40°26′57″ с. ш. 3°43′41″ з. д.
Корнеллский университет,"Ithaca, New York, United States42°27′13″N 76°28′26″W﻿ / ﻿42.45361°N 76.47389°W﻿ / 42.45361; -76.47389",42°26′56″ с. ш. 76°28′43″ з. д.
Лодзинский университет,"Лодзь, Польша",51°46′18″ с. ш. 19°28′23″ в. д.
Гёттингенский университет,"Гёттинген, Нижняя Саксония, Германия",51°32′31″ с. ш. 9°56′04″ в. д.
Манчестерский университет,Манчестер,53°27′58″ с. ш. 2°13′55″ з. д.
Университет имени Я. А. Коменского,"Словакия, Братислава",48°08′28″ с. ш. 17°06′57″ в. д.
Денверский университет,"Denver, Colorado, United States",39°40′42″ с. ш. 104°57′44″ з. д.
Каирский университет,"Египет, Гиза",30°01′39″ с. ш. 31°12′37″ в. д.
юридический факультет  Университета имени Я. А. Коменского,,
Гарвардский университет,"Cambridge, Massachusetts, United States42°22′28″N 71°07′01″W﻿ / ﻿42.37444°N 71.11694°W﻿ / 42.37444; -71.11694",42°22′34″ с. ш. 71°06′59″ з. д.
Университет имени Я. А. Коменского,"Словакия, Братислава",48°08′28″ с. ш. 17°06′57″ в. д.
Университет имени Я. А. Коменского,"Словакия, Братислава",48°08′28″ с. ш. 17°06′57″ в. д.
МГИМО,"Moscow, Russia",55°40′19″ с. ш. 37°29′18″ в. д.
Вильнюсский университет,"Вильнюс,  Литва",54°40′58″ с. ш. 25°17′14″ в. д.
Цюрихский университет,"Цюрих, Швейцария",47°22′29″ с. ш. 8°32′54″ в. д.
Ташкентский государственный экономический университет,"Ташкент,  Узбекистан",41°19′ с. ш. 69°15′ в. д.
Университет Малайя,"Куала-Лумпур, Пантай Лембах",3°07′15″ с. ш. 101°39′23″ в. д.
Еврейский университет в Иерусалиме,"Израиль, Иерусалим, Реховот",31°46′33″ с. ш. 35°12′00″ в. д.
Корнеллский университет,"Ithaca, New York, United States42°27′13″N 76°28′26″W﻿ / ﻿42.45361°N 76.47389°W﻿ / 42.45361; -76.47389",42°26′56″ с. ш. 76°28′43″ з. д.
Школа управления им. Джона Ф. Кеннеди,"Кембридж, Массачусетс, США",42°22′17″ с. ш. 71°07′20″ з. д.
Институт политических исследований,,
Оксфордский университет,"Оксфорд, графство Оксфордшир, Англия",51°45′40″ с. ш. 1°15′12″ з. д.
Швейцарская высшая техническая школа Цюриха,Цюрих,47°22′35″ с. ш. 8°32′53″ в. д.
Казахский национальный университет,"Казахстан, Алма-Ата",43°13′30″ с. ш. 76°55′16″ в. д.
Говардский университет,"Washington, District of Columbia, United States38°55′20″N 77°01′10″W﻿ / ﻿38.92222°N 77.01944°W﻿ / 38.92222; -77.01944",38°55′18″ с. ш. 77°01′12″ з. д.
Ереванский государственный университет,"Армения, Ереван",40°10′54″ с. ш. 44°31′35″ в. д.
Колумбийский университет,"New York, New York, United States40°48′27″N 73°57′43″W﻿ / ﻿40.80750°N 73.96194°W﻿ / 40.80750; -73.96194",40°48′31″ с. ш. 73°57′44″ з. д.
Венский университет,"Вена, Австрия",48°12′47″ с. ш. 16°21′35″ в. д.
Уппсальский университет,"Уппсала,  Швеция",59°51′27″ с. ш. 17°37′44″ в. д.
Стокгольмский университет,"Стокгольм, Швеция",59°21′55″ с. ш. 18°03′30″ в. д.
Кремсский университет повышения квалификации,,
Университет Кауки,,
Люблянский университет,"Словения, Любляна",46°02′56″ с. ш. 14°30′14″ в. д.
Миланский университет,"Милан, Италия",45°27′40″ с. ш. 9°11′41″ в. д.
МГИМО,"Moscow, Russia",55°40′19″ с. ш. 37°29′18″ в. д.
Сегедский университет,"Szeged, Hungary46°15′01″N 20°08′46″E﻿ / ﻿46.25028°N 20.14611°E﻿ / 46.25028; 20.14611",46°15′01″ с. ш. 20°08′46″ в. д.
Афинский университет,"Афины, Греция",37°59′05″ с. ш. 23°46′01″ в. д.
Национальная школа администрации,,
Тартуский университет,Эстония: Тарту,58°22′52″ с. ш. 26°43′13″ в. д.
Таллинский университет,"Эстония, Таллин",59°26′19″ с. ш. 24°46′17″ в. д.
Тартуский университет,Эстония: Тарту,58°22′52″ с. ш. 26°43′13″ в. д.
Гарвардский университет,"Cambridge, Massachusetts, United States42°22′28″N 71°07′01″W﻿ / ﻿42.37444°N 71.11694°W﻿ / 42.37444; -71.11694",42°22′34″ с. ш. 71°06′59″ з. д.
Лидсский университет,University of Leeds Campus[вд],53°48′26″ с. ш. 1°33′06″ з. д.
Национальный автономный университет Мексики,Мехико,19°19′44″ с. ш. 99°11′14″ з. д.
Университет Кентербери,"Крайстчерч, Новая Зеландия",43°31′24″ ю. ш. 172°34′55″ в. д.
Университет королевы Виктории,"Wellington, New Zealand41°17′20″S 174°46′06″E﻿ / ﻿41.28889°S 174.76833°E﻿ / -41.28889; 174.76833",41°17′20″ ю. ш. 174°46′06″ в. д.
Пенсильванский университет,"Philadelphia, Pennsylvania, United States39°57′N 75°11′W﻿ / ﻿39.95°N 75.19°W﻿ / 39.95; -75.19",39°57′13″ с. ш. 75°11′34″ з. д.
Университет Аристотеля в Салониках,"Салоники, Греция",40°37′48″ с. ш. 22°57′29″ в. д.
Латвийский университет,"Латвия, Рига",56°57′00″ с. ш. 24°07′00″ в. д.
Копенгагенский университет,"Копенгаген,  Дания",55°40′47″ с. ш. 12°34′21″ в. д.
Школа дипломатической службы,,
Тринити Колледж,,Coord extraction error
Университет Сонгюнгван,"Сеул, Сувон",37°25′ с. ш. 126°59′ в. д.
Мертон-колледж (Оксфорд),,51°45′04″ с. ш. 1°15′08″ з. д.
Пекинский университет,"Китай, Пекин",39°59′23″ с. ш. 116°18′19″ в. д.
Сеульский национальный университет,"Республика Корея, Сеул",37°28′ с. ш. 126°57′ в. д.
Каунасский технологический университет,"Литва, Каунас",54°53′55″ с. ш. 23°54′44″ в. д.
